description,year,name,region,on_churchill,on_map,region_edited
"
              To investigate and document strategies and services for men and women who have been released from gaol, with particular reference to education services - Sweden, Netherlands
            ",1991,"CASSIDY, Lindy",Netherlands,yes,yes,yes
"
              To study the role of corruption in organised crime and prevention strategies that will assist in the suppression of organised crime in Australia - Hong Kong, USA, Canada, Italy
            ",1991,"CASTLEHOW, Graeme",USA,yes,yes,yes
"
              To study the role of corruption in organised crime and prevention strategies that will assist in the suppression of organised crime in Australia - Hong Kong, USA, Canada, Italy
            ",1991,"CASTLEHOW, Graeme",Canada,yes,yes,yes
"
              To study the role of corruption in organised crime and prevention strategies that will assist in the suppression of organised crime in Australia - Hong Kong, USA, Canada, Italy
            ",1991,"CASTLEHOW, Graeme",Italy,yes,yes,yes
"
              To study ecclesiastical embroidery and design and modern fabric decoration in religious settings - UK
            ",1991,"CONNELLY, Anne",UK,yes,yes,yes
"
              The Jack Green Churchill Fellowship to study new strategies to increase autumn/winter milk production - USA, UK, Germany, Netherlands
            ",1991,"CROOKE, Sarah",USA,yes,yes,yes
"
              The Jack Green Churchill Fellowship to study new strategies to increase autumn/winter milk production - USA, UK, Germany, Netherlands
            ",1991,"CROOKE, Sarah",UK,yes,yes,yes
"
              The Jack Green Churchill Fellowship to study new strategies to increase autumn/winter milk production - USA, UK, Germany, Netherlands
            ",1991,"CROOKE, Sarah",Germany,yes,yes,yes
"
              The Jack Green Churchill Fellowship to study new strategies to increase autumn/winter milk production - USA, UK, Germany, Netherlands
            ",1991,"CROOKE, Sarah",Netherlands,yes,yes,yes
"
              To study the management and marketing of tourism in wilderness areas - Canada, USA, Norway
            ",1991,"CURRANT AM, Simon",Canada,yes,yes,yes
"
              To study the management and marketing of tourism in wilderness areas - Canada, USA, Norway
            ",1991,"CURRANT AM, Simon",USA,yes,yes,yes
"
              To study the management and marketing of tourism in wilderness areas - Canada, USA, Norway
            ",1991,"CURRANT AM, Simon",Norway,yes,yes,yes
"
              To study the US and UK responses to the finance gap experienced by social and community-oriented economic development ventures denied access to funds through traditional lending and equity channels - USA, UK
            ",1991,"DAHN, Sue",USA,yes,yes,yes
"
              To study the US and UK responses to the finance gap experienced by social and community-oriented economic development ventures denied access to funds through traditional lending and equity channels - USA, UK
            ",1991,"DAHN, Sue",UK,yes,yes,yes
"
              To study registration, qualifications for specialisation and disciplinary procedures of Dental Registration Boards - UK, Belgium, USA
            ",1991,"DALE AO, John",UK,yes,yes,yes
"
              To study registration, qualifications for specialisation and disciplinary procedures of Dental Registration Boards - UK, Belgium, USA
            ",1991,"DALE AO, John",Belgium,yes,yes,yes
"
              To study registration, qualifications for specialisation and disciplinary procedures of Dental Registration Boards - UK, Belgium, USA
            ",1991,"DALE AO, John",USA,yes,yes,yes
"
              To investigate technology transfer and adult education processes used or being developed in semi-arid rangelands and to apply these processes in the Western Division of NSW - South Africa, USA
            ",1991,"DAVEY, Peter",South Africa,yes,yes,yes
"
              To investigate technology transfer and adult education processes used or being developed in semi-arid rangelands and to apply these processes in the Western Division of NSW - South Africa, USA
            ",1991,"DAVEY, Peter",USA,yes,yes,yes
"
              To investigate a pre-retirement programme for people with developmental disabilities - USA
            ",1991,"DONOVAN, Barbara",USA,yes,yes,yes
"
              To heighten sensibilites as a reviewer and to raise the standard of work as a theatre critic - USA
            ",1991,"EVANS, Robert",USA,yes,yes,yes
